,Exercise,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Load Position (Ending),Continuous or Alternating Legs ,Foot Elevation,Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Primary Exercise Classification
,Slider Kettlebell Goblet Reverse Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Kettlebell ,1,Standing,Double Arm,Continuous,Goblet,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Miniband Thigh Monster Walk,Video Demonstration,,Beginner,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband,1,None,0,Walking,No Arms,Continuous,No Grip,No Load,Alternating,No Elevation,Single Exercise,Hip Abduction,,,Transverse Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
,Bodyweight Quadruped Hip Extension,Video Demonstration,,Beginner,Glutes,Gluteus Maximus,,,Bodyweight,1,None,0,Quadruped,Double Arm,Continuous,Flat Palm,No Load,Continuous,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Isolation,Unilateral,Unsorted*
,Suspension Pistol Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Suspension Trainer,1,None,0,Single Leg Standing,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Balance
,Suspension Skater Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Suspension Trainer,1,None,0,Single Leg Standing,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Balance
,Bodyweight Tuck Jump,Video Demonstration,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,1,None,0,Standing,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Unsorted*,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Plyometric
,Bodyweight Alternating Single Leg Wall Sit,Video Demonstration,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,1,None,0,Standing,No Arms,Continuous,No Grip,No Load,Alternating,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Lower Body,Other,Compound,Unilateral,Unsorted*
,Bodyweight Single Leg Romanian Deadlift Jump,Video Demonstration,,Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,Obliques,Bodyweight,1,None,0,Single Leg Standing,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Other,Compound,Unilateral,Plyometric
,Double Dumbbell Overhead Walking Lunge,Video Demonstration,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,2,None,0,Walking,Double Arm,Continuous,Neutral,Overhead,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Stability Ball Double Dumbbell Suitcase Bulgarian Split Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Stability Ball,1,Dumbbell,2,Single Leg Supported,Double Arm,Continuous,Neutral,Suitcase,Continuous,Foot Elevated (Rear),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Bodyweight Reverse Nordic,Video Demonstration,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,,,Bodyweight,1,None,0,Tall Kneeling,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Unsorted*,Isolation,Bilateral,Unsorted*
,Bodyweight Alternating Lateral Bench Jump,Video Demonstration,Video Explanation,Novice,Glutes,Gluteus Maximus,,,Bodyweight,1,Bench (Flat),1,Standing,No Arms,Continuous,No Grip,No Load,Alternating,No Elevation,Single Exercise,Unsorted*,,,Frontal Plane,,,Lower Body,Unsorted*,Compound,Unilateral,Plyometric
,Single Arm Dumbbell Front Rack Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Bodyweight Skater Jump,Video Demonstration,Video Explanation,Intermediate,Abductors,Gluteus Medius,Quadriceps Femoris,Gluteus Maximus,Bodyweight,1,None,0,Single Leg Standing,No Arms,Continuous,No Grip,No Load,Alternating,No Elevation,Single Exercise,Unsorted*,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Plyometric
,Slider Single Arm Dumbbell Front Rack Contralateral Reverse Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Dumbbell,1,Standing,Single Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
,Cable Prone Bench Hamstring Curl,Video Demonstration,Video Explanation,Novice,Hamstrings,Biceps Femoris,Gluteus Maximus,,Cable,1,Bench (Flat),1,Prone,No Arms,Continuous,No Grip,Other,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Pull,Isolation,Bilateral,Bodybuilding
,Bodyweight Bulgarian Split Squat Jump,Video Demonstration,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Bodyweight,1,Bench (Flat),1,Single Leg Supported,No Arms,Continuous,No Grip,No Load,Continuous,Foot Elevated (Rear),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Plyometric
,Cable Standing Single Leg Hamstring Curl,Video Demonstration,,Novice,Hamstrings,Biceps Femoris,Gluteus Maximus,,Cable,1,None,0,Single Leg Standing,No Arms,Continuous,Hand Assisted,Other,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Pull,Isolation,Unilateral,Bodybuilding
,Bodyweight Nordic Hamstring Curl,Video Demonstration,Video Explanation,Advanced,Hamstrings,Biceps Femoris,Gluteus Maximus,,Bodyweight,1,None,0,Tall Kneeling,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Pull,Isolation,Bilateral,Unsorted*
,Superband Assisted Pistol Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Superband,1,None,0,Single Leg Standing,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Balance
,Slider Double Kettlebell Bottoms Up Front Rack Reverse Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Kettlebell ,2,Standing,Double Arm,Continuous,Bottoms Up,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Double Dumbbell Front Rack Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding
,Double Dumbbell Suitcase Walking Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,2,None,0,Walking,Double Arm,Continuous,Neutral,Suitcase,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Barbell Back Rack Walking Lunge,Video Demonstration,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Barbell,1,None,0,Walking,Double Arm,Continuous,Pronated,Back Rack,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Bodyweight Box Pistol Squat,Video Demonstration,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,1,Plyo Box,1,Single Leg Standing,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Calisthenics
,Barbell Overhead Squat,Video Demonstration,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Unsorted*
,Slider Double Kettlebell Bottoms Up Overhead Reverse Lunge,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Kettlebell ,2,Standing,Double Arm,Continuous,Bottoms Up,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Landmine Goblet Squat,Video Demonstration,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Landmine,1,None,0,Standing,Double Arm,Continuous,Goblet,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding
,Stability Ball Hamstring Curl,Video Demonstration,Video Explanation,Novice,Hamstrings,Biceps Femoris,Gluteus Maximus,,Stability Ball,1,None,0,Supine,No Arms,Continuous,No Grip,Other,Continuous,Feet Elevated,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Pull,Isolation,Bilateral,Unsorted*
,Slider Hamstring Curl,Video Demonstration,Video Explanation,Novice,Hamstrings,Biceps Femoris,Gluteus Maximus,,Sliders,2,None,0,Supine,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Pull,Isolation,Bilateral,Unsorted*
,Bodyweight Hamstring Walkout ,Video Demonstration,Video Explanation,Novice,Hamstrings,Biceps Femoris,Gluteus Maximus,,Bodyweight,1,None,0,Bridge,No Arms,Continuous,No Grip,No Load,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Unilateral,Unsorted*
,Slider Dumbbell Goblet Reverse Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Dumbbell,1,Standing,Double Arm,Continuous,Goblet,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Bodyweight Dragon Squat,Video Demonstration,Video Explanation,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,1,None,0,Single Leg Standing,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Calisthenics
,Stability Ball Single Leg Hamstring Curl,Video Demonstration,Video Explanation,Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,,Stability Ball,1,None,0,Supine,No Arms,Continuous,No Grip,No Load,Continuous,Foot Elevated,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Pull,Isolation,Unilateral,Bodybuilding
,Barbell Single Leg Romanian Deadlift,,Video Explanation,Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,Obliques,Barbell,1,None,0,Single Leg Standing,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Pull,Compound,Unilateral,Bodybuilding
,Double Dumbbell Suitcase Lateral Lunge,Video Demonstration,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Dumbbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Suitcase,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Unsorted*,Compound,Unilateral,Unsorted*
,Barbell Zombie Walking Lunge,,Video Explanation,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Barbell,1,None,0,Walking,Double Arm,Continuous,No Grip,Front Rack,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Barbell Overhead Walking Lunge,Video Demonstration,,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Barbell,1,None,0,Walking,Double Arm,Continuous,Pronated,Overhead,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Barbell Squat Clean,Video Demonstration,Video Explanation,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,Hip Hinge,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Olympic Weightlifting 
,Single Arm Landmine Split Clean to Split Jerk,,Video Explanation,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,,Landmine,1,None,0,Staggered Stance,Single Arm,Continuous,Pronated,Overhead,Alternating,No Elevation,Combo Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Unsorted*
,Single Arm Landmine Hack Squat,Video Demonstration,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Landmine,1,None,0,Standing,Single Arm,Continuous,Neutral,Shoulder,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Double Indian Club Lateral Arm Circles,,,Novice,Shoulders,Lateral Deltoids,,,Indian Club,2,None,0,Standing,Double Arm,Continuous,Neutral,Lateral,Continuous,No Elevation,Single Exercise,Unsorted*,,,Sagittal Plane,,,Upper Body,Other,,Bilateral,Mobility
,Resistance Band Shoulder Dislocates,Video Demonstration,Video Explanation,Novice,Shoulders,Posterior Deltoids,Supraspinatus,Teres Minor,Resistance Band,1,None,0,Standing,Double Arm,Continuous,Pronated,Lateral,Continuous,No Elevation,Single Exercise,Unsorted*,,,Sagittal Plane,,,Upper Body,Unsorted*,Compound,Bilateral,Mobility
,Suspension Reverse Grip Bicep Curl,Video Demonstration,,Novice,Forearms,Brachioradialis,Biceps Brachii,Brachialis,Suspension Trainer,1,None,0,Standing,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Unsorted*
,Cable Straight Bar Reverse Grip Bicep Curl,Video Demonstration,,Novice,Forearms,Brachioradialis,Biceps Brachii,Brachialis,Cable,1,None,0,Standing,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
,Single Arm Cable Reverse Grip Bicep Curl,Video Demonstration,,Novice,Forearms,Brachioradialis,Biceps Brachii,Brachialis,Cable,1,None,0,Standing,Single Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
,Bar Eccentric Chin Up ,Video Demonstration,,Novice,Biceps,Biceps Brachii,Latissimus Dorsi,,Pull Up Bar,1,None,0,Hanging,Double Arm,Continuous,Supinated,No Load,Continuous,No Elevation,Single Exercise,Vertical Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
,Bar Eccentric Pull Up,Video Demonstration,,Novice,Back,Latissimus Dorsi,,,Pull Up Bar,1,None,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Vertical Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
,Landmine Half Kneeling Oblique Twist ,Video Demonstration,,Intermediate,Abdominals,Obliques,,,Landmine,1,None,0,Half Kneeling,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Core,Other,Compound,Bilateral,Unsorted*
,Single Arm Bar Dead Hang,Video Demonstration,,Novice,Forearms,Brachioradialis,Latissimus Dorsi,Teres Major,Pull Up Bar,1,None,0,Hanging,Single Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Upper Body,Other,Compound,Unilateral,Calisthenics
,Single Arm Kettlebell Tall Kneeling Overhead Press,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,1,None,0,Tall Kneeling,Single Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
,Alternating Double Kettlebell Tall Kneeling Overhead Press,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2,None,0,Tall Kneeling,Double Arm,Alternating,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
,Alternating Double Kettlebell Half Kneeling Overhead Press,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2,None,0,Half Kneeling,Double Arm,Alternating,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
,Stability Ball Single Arm Forearm Plank,Video Demonstration,,Expert,Abdominals,Rectus Abdominis,,,Stability Ball,1,None,0,Prone,Single Arm,Continuous,Forearm,No Load,Continuous,No Elevation,Single Exercise,Anti-Rotational,Anti-Extension,,Sagittal Plane,,,Core,Other,Compound,Unilateral,Unsorted*
,Stability Ball Feet Elevated Single Arm Forearm Plank,Video Demonstration,,Expert,Abdominals,Rectus Abdominis,,,Stability Ball,1,None,0,Prone,Single Arm,Continuous,Forearm,No Load,Continuous,Feet Elevated,Single Exercise,Anti-Rotational,Anti-Extension,,Sagittal Plane,,,Core,Other,Compound,Unilateral,Unsorted*
,Landmine Zercher Skater Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Landmine,1,None,0,Single Leg Standing,Double Arm,Continuous,No Grip,Zercher,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Balance
,Single Arm Landmine Front Rack Contralateral Reverse Lunge to Shoulder Press,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Anterior Deltoids,Gluteus Maximus,Landmine,1,None,0,Standing,Single Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Combo Exercise,Knee Dominant,Vertical Push,,Sagittal Plane,,,Full Body,Push,Compound,Contralateral,Unsorted*
,Landmine Thruster,Video Demonstration,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Anterior Deltoids,,Landmine,1,None,0,Standing,Double Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,Vertical Push,,Sagittal Plane,,,Full Body,Push,Compound,Bilateral,Bodybuilding
,Landmine Romanian Deadlift,Video Demonstration,Video Explanation,Novice,Hamstrings,Biceps Femoris,Gluteus Maximus,Erector Spinae,Landmine,1,None,0,Standing,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding
,Single Arm Landmine Single Leg Romanian Deadlift,Video Demonstration,Video Explanation,Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,Obliques,Landmine,1,None,0,Single Leg Standing,Single Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Unilateral,Bodybuilding
,Landmine Tall Kneeling Oblique Twist,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Landmine,1,None,0,Tall Kneeling,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Core,Other,Compound,Bilateral,Unsorted*
,Landmine Feet Elevated Russian Twist,Video Demonstration,,Intermediate,Abdominals,Obliques,Rectus Abdominis,Iliopsoas,Landmine,1,None,0,Seated Floor,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Core,Other,Compound,Bilateral,Unsorted*
,Single Arm Landmine Thruster,Video Demonstration,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Anterior Deltoids,,Landmine,1,None,0,Standing,Single Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,Vertical Push,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,Bodybuilding
,Double Kettlebell Tall Kneeling Seesaw Overhead Press,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2,None,0,Tall Kneeling,Double Arm,Alternating,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
